id,name,historical_group,current_status,current_scope,current_batches,unit_or_label_review,evidence,current_category
EEG-0031,SeizeIT2,original_62_processed,processed_time_domain,disease,37,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0032,Siena Scalp EEG,original_62_processed,processed_time_domain,disease,20,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0033,TUEP (TUH Epilepsy),original_62_processed,processed_time_domain,disease,31,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0034,TUEV (TUH Events),original_62_processed,processed_time_domain,disease,28,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0035,TUSL (TUH Slowing),original_62_processed,processed_time_domain,disease,28,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0036,TUSZ (TUH Seizure),original_62_processed,processed_time_domain,disease,30,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0039,AD-Auditory,original_62_processed,processed_time_domain,disease,6,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0040,AD65 (Alzheimer/FTD),original_62_processed,processed_time_domain,disease,10,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0041,Alzheimer Risk Classification Sample-enrichment EEG,original_62_processed,processed_time_domain,disease,26,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0042,APAVA,original_62_processed,processed_time_domain,disease,0,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0043,CAUEEG,local_14,processed_time_domain,disease,101,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0044,Dementia Photo-stimulation Open-eyes EEG,original_62_processed,processed_time_domain,disease,12,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0045,"EEG p-adic quantum potential accurately identifies depression, schizophrenia and cognitive decline",original_62_processed,processed_time_domain,disease,27,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0047,"Resting-state high-density EEG using EGI GES 300 for healthy elders, SCD, MCI and Alzheimer's disease",local_14,processed_time_domain,disease,99,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0048,Adult ADHD EEG,original_62_processed,processed_time_domain,disease,0,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0051,B-SNIP1,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,医疗与疾病
EEG-0052,Depression resting (BDI),original_62_processed,processed_time_domain,disease,13,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0053,EEG Data for ADHD,missing_23,processed_time_domain,disease,114,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0054,EEG in schizophrenia,original_62_processed,processed_time_domain,disease,35,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0055,FEPCR,original_62_processed,processed_time_domain,disease,17,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0056,Fribourg Ultimatum Game in Schizophrenia Study,original_62_processed,processed_time_domain,disease,21,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0057,MDD (Mumtaz),original_62_processed,processed_time_domain,disease,9,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0058,MODMA,local_14,processed_time_domain,disease,108,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0059,Power Spectral Density-Based Resting-State EEG Classification of First-Episode Psychosis,original_62_processed,processed_time_domain,disease,11,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0061,TDBRAIN,local_14,processed_time_domain,disease,103,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0062,Acute Mild TBI DPX Cognitive-control EEG,original_62_processed,processed_time_domain,disease,25,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0063,Acute Stroke Motor Imagery EEG Dataset,original_62_processed,processed_time_domain,disease,0,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0064,ALS Eye-tracking Spelling EEG Dataset,original_62_processed,processed_time_domain,other_category,44,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,运动与交互
EEG-0065,ALS-Spelling (EEG-ET),original_62_processed,processed_time_domain,disease,1,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0066,"AMIGOS: A Dataset for Affect, Personality and Mood Research on Individuals and Groups",missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,认知与情感
EEG-0067,Auditory-Visual Shift Study,original_62_processed,processed_time_domain,other_category,50,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,认知与情感
EEG-0068,BCI Competition 2003 (III) Dataset I,original_62_processed,processed_time_domain,other_category,64,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,运动与交互
EEG-0069,Benchmark-SSVEP,original_62_processed,processed_time_domain,other_category,65,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,运动与交互
EEG-0070,BNCI 006-2014 (SCP training in stroke),original_62_processed,processed_time_domain,disease,33,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0071,"BNCI 008-2014 (P300 speller, ALS)",original_62_processed,processed_time_domain,disease,8,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0073,BNCI2015_013 (Error-Related Potentials),original_62_processed,processed_time_domain,other_category,68,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,运动与交互
EEG-0074,CCEP ECoG Dataset across age 4-51,original_62_processed,processed_time_domain,disease,48,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0075,"Dataset of electrophysiological signals (EEG, ECG, EMG) during Music therapy with adult burn patients in the Intensive Care Unit.",original_62_processed,processed_time_domain,disease,22,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0076,DEAP: A Database for Emotion Analysis Using Physiological Signals,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,认知与情感
EEG-0077,EEG recordings comprising evoked potentials related to attention to colored laminar stimuli,local_14,processed_time_domain,other_category,102,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,认知与情感
EEG-0078,EEG: 3-Stim Auditory Oddball and Rest in Parkinson’s,original_62_processed,processed_time_domain,disease,14,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0079,EEG: Reinforcement Learning in Parkinson’s,original_62_processed,processed_time_domain,disease,15,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0080,EEG: Simon Conflict in Parkinson's,original_62_processed,processed_time_domain,disease,15,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0081,EEG: Three-Stim Auditory Oddball and Rest in Acute and Chronic TBI,original_62_processed,processed_time_domain,disease,115;24,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0082,Human Spinal-cord Somatosensory Evoked Potentials EEG,original_62_processed,processed_time_domain,other_category,51,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,健康与人群
EEG-0083,Intraoperative Medianus-tibialis Stimulation EEG,original_62_processed,processed_time_domain,disease,40,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0084,Liu2024,original_62_processed,processed_time_domain,disease,0,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0085,Lower-Limb-MI (stroke),original_62_processed,processed_time_domain,disease,76,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0086,MESA Sleep,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,健康与人群
EEG-0087,Migrainedb,original_62_processed,processed_time_domain,disease,3,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0089,Mu and Beta Oscillatory Changes during a motor task following Rehabilitation in Chronic MCA Stroke: Insights from EEG,original_62_processed,processed_time_domain,disease,32,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0090,MultiPhysio-HRC: Multimodal Physiological Signals Dataset for industrial Human-Robot Collaboration,original_62_processed,processed_time_domain,other_category,5,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,运动与交互
EEG-0091,Object classification from randomized EEG trials,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,认知与情感
EEG-0092,PD-EEG Resting-State & Walking EEG,original_62_processed,processed_time_domain,disease,16,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0093,PD-Mortality,local_14,processed_time_domain,disease,95,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0094,PD31 (Parkinson),original_62_processed,processed_time_domain,disease,6,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0095,PhysioP300 (PhysioNet ERP,original_62_processed,processed_time_domain,other_category,2,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,运动与交互
EEG-0096,REFED,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,认知与情感
EEG-0097,Semantic Animals/Tools (EEG-fNIRS),original_62_processed,processed_time_domain,other_category,56,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,认知与情感
EEG-0098,Tinnitus Acoustic Therapy EEG Database,original_62_processed,processed_time_domain,disease,89,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0100,UNMDataset,original_62_processed,processed_time_domain,disease,61,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0101,VEPCON,local_14,processed_time_domain,other_category,100,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,认知与情感
EEG-0102,BrainLat (Latin American EEG),missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,医疗与疾病
EEG-0103,MORGOTH HEEDB-Pretrain,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,医疗与疾病
EEG-0104,MORGOTH HEEDB-Test,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,医疗与疾病
EEG-0105,MORGOTH HEEDB-Train,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,医疗与疾病
EEG-0106,NMT Scalp EEG Dataset,local_14,processed_time_domain,disease,98,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0107,TUAB (TUH Abnormal),original_62_processed,processed_time_domain,disease,29,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0519,Cuban Human Brain Mapping Project (CHBMP),missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,健康与人群
EEG-0520,Infant First-year Resting EEG Dataset,original_62_processed,processed_time_domain,other_category,46,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,健康与人群
EEG-0521,Mind in Motion Older Adults Walking EEG,original_62_processed,processed_time_domain,other_category,90,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,健康与人群
EEG-0522,MIPDB,local_14,processed_time_domain,other_category,110,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,健康与人群
EEG-0523,SFARI_EEG multi-paradigm dataset,original_62_processed,processed_time_domain,disease,54,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0524,M3CV (Multi-Subject Multi-Session Multi-Paradigm database for EEG-based Biometrics),local_14,processed_time_domain,other_category,96,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,通用与多范式
EEG-0582,TUEG (TUH EEG Corpus),original_62_processed,processed_time_domain,disease,42,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
