ID,优先级,下载决策,队列属性,二级分类,数据集,服务器状态,已取得独立raw,精确时长已审计,已审计时长(h),文献时长(h),实体大小(GB),访问方式,下载方法,官方入口,申请/登录页面,建议路径,决策理由/下一步
EEG-0114,P0,已下载·待信号/时长审计,疾病/临床,Clinical_Sleep_and_PSG,CAP Sleep Database,COMPLETED,是,否,,,43.071893776,公开/登录后下载,PhysioNet：wget -r -N -c -np https://physionet.org/content/capslpdb/1.0.0/,https://physionet.org/content/capslpdb/1.0.0/,,03_Consciousness_and_State/Sleep_Staging/CAP_Sleep_Database,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
EEG-0121,P0,已下载·待信号/时长审计,健康/人群,Sleep_Health_and_PSG,DREAMS-SUB (DREAMS Subjects Database),COMPLETED,是,否,,,4.259327851,公开/登录后下载,缺少有效入口；先补入口,,,03_Consciousness_and_State/Sleep_Staging/DREAMS-SUB_DREAMS_Subjects_Database,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
EEG-0123,P0,已下载·待信号/时长审计,健康/人群,Sleep_Health_and_PSG,Ear-EEG Sleep Monitoring 2017,COMPLETED,是,否,,,13.210689017,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds004348/versions/1.0.5,,03_Consciousness_and_State/Sleep_Staging/Ear-EEG_Sleep_Monitoring_2017,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
EEG-0124,P0,已下载·待信号/时长审计,健康/人群,Sleep_Health_and_PSG,EESM23 (Ear-EEG Sleep Monitoring),COMPLETED,是,否,,,95.116020667,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds005178/versions/1.0.0,,03_Consciousness_and_State/Sleep_Staging/EESM23_Ear-EEG_Sleep_Monitoring,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
EEG-0125,P0,下载中,疾病/临床,Clinical_Sleep_Disorders,HMC (Haaglanden),DISCOVERED_NOT_COMPLETED,否,否,,,,公开/登录后下载,PhysioNet：wget -r -N -c -np https://physionet.org/content/hmc-sleep-staging/1.1/,https://physionet.org/content/hmc-sleep-staging/1.1/,,02_Healthcare_and_Disease/Clinical_Sleep_Disorders/HMC_Haaglanden,SeaWulf Slurm 任务 2133731 正在续传；完成后立即运行 subjects / duration 文件级审计。
EEG-0138,P0,已下载·待信号/时长审计,健康/人群,Sleep_Health_and_PSG,OpenNeuro ds003768 simultaneous EEG-fMRI sleep,COMPLETED,是,否,,,312.924643894,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds003768,,03_Consciousness_and_State/Sleep_Staging/OpenNeuro_ds003768_simultaneous_EEG-fMRI_sleep,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
EEG-0143,P0,已下载·待信号/时长审计,健康/人群,Sleep_Health_and_PSG,Sleep-Deprivation (resting),COMPLETED,是,否,,,8.900349601,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds004902,,03_Consciousness_and_State/Sleep_Staging/Sleep-Deprivation_resting,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
EEG-0493,P0,已下载·待信号/时长审计,疾病/临床,Cross_Diagnostic_Clinical,ADSZ,COMPLETED,是,否,,,0.018289919,公开/登录后下载,Figshare 官方文件下载/API,https://figshare.com/articles/dataset/Alzheimer_s_disease_and_Schizophrenia/19091771,,03_Consciousness_and_State/Resting_State/ADSZ,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
EEG-0140,P1,可直接下载,疾病/临床,Clinical_Sleep_and_PSG,PhysioNet Challenge 2018 Sleep Arousal Database,DISCOVERED_NOT_COMPLETED,否,否,,7061.216666666666,,公开/登录后下载,PhysioNet：wget -r -N -c -np https://physionet.org/content/challenge-2018/1.0.0/,https://physionet.org/content/challenge-2018/1.0.0/,,03_Consciousness_and_State/Sleep_Staging/PhysioNet_Challenge_2018_Sleep_Arousal_Database,从官方入口下载；完成后写入服务器状态并运行 subjects/duration 审计。
EEG-0603,P1,可直接下载,疾病/临床,Clinical_Sleep_Disorders,DCSM Sleep Staging Dataset,NOT_IN_SERVER_AUDIT,否,否,,4824.491666666667,,公开/登录后下载,打开官方入口并按页面说明下载,https://erda.ku.dk/public/archives/db553715ecbe1f3ac66c1dc569826eef/published-archive.html,,02_Healthcare_and_Disease/Clinical_Sleep_Disorders/DCSM,从官方入口下载；完成后写入服务器状态并运行 subjects/duration 审计。
EEG-0608,P1,可直接下载,疾病/临床,Sleep_Disordered_Breathing,Dreem Open Dataset – Obstructive (DOD-O),NOT_IN_SERVER_AUDIT,否,否,,451.64166666666665,,公开/登录后下载,Zenodo 官方文件下载/API,https://zenodo.org/records/15900394,,02_Healthcare_and_Disease/Sleep_Disordered_Breathing/Dreem_Open_Dataset_Obstructive_DOD-O,从官方入口下载；完成后写入服务器状态并运行 subjects/duration 审计。
EEG-0596,P1,可直接下载,健康/人群,Developmental_Clinical_Cohort,HBN-EEG Release 4,NOT_IN_SERVER_AUDIT,否,否,,261.8,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds005508,,08_Health_and_Population/Developmental_Clinical_Cohort/HBN_EEG_R4_ds005508,从官方入口下载；完成后写入服务器状态并运行 subjects/duration 审计。
EEG-0597,P1,可直接下载,健康/人群,Developmental_Clinical_Cohort,HBN-EEG Release 5,NOT_IN_SERVER_AUDIT,否,否,,255.3,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds005509,,08_Health_and_Population/Developmental_Clinical_Cohort/HBN_EEG_R5_ds005509,从官方入口下载；完成后写入服务器状态并运行 subjects/duration 审计。
EEG-0601,P1,可直接下载,健康/人群,Developmental_Clinical_Cohort,HBN-EEG Release 9,NOT_IN_SERVER_AUDIT,否,否,,210.8,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds005514,,08_Health_and_Population/Developmental_Clinical_Cohort/HBN_EEG_R9_ds005514,从官方入口下载；完成后写入服务器状态并运行 subjects/duration 审计。
EEG-0600,P1,可直接下载,健康/人群,Developmental_Clinical_Cohort,HBN-EEG Release 8,NOT_IN_SERVER_AUDIT,否,否,,179.1,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds005512,,08_Health_and_Population/Developmental_Clinical_Cohort/HBN_EEG_R8_ds005512,从官方入口下载；完成后写入服务器状态并运行 subjects/duration 审计。
EEG-0595,P1,可直接下载,健康/人群,Developmental_Clinical_Cohort,HBN-EEG Release 3,NOT_IN_SERVER_AUDIT,否,否,,158.8,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds005507,,08_Health_and_Population/Developmental_Clinical_Cohort/HBN_EEG_R3_ds005507,从官方入口下载；完成后写入服务器状态并运行 subjects/duration 审计。
EEG-0594,P1,可直接下载,健康/人群,Developmental_Clinical_Cohort,HBN-EEG Release 2,NOT_IN_SERVER_AUDIT,否,否,,127.5,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds005506,,08_Health_and_Population/Developmental_Clinical_Cohort/HBN_EEG_R2_ds005506,从官方入口下载；完成后写入服务器状态并运行 subjects/duration 审计。
EEG-0598,P1,可直接下载,健康/人群,Developmental_Clinical_Cohort,HBN-EEG Release 6,NOT_IN_SERVER_AUDIT,否,否,,103.5,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds005510,,08_Health_and_Population/Developmental_Clinical_Cohort/HBN_EEG_R6_ds005510,从官方入口下载；完成后写入服务器状态并运行 subjects/duration 审计。
EEG-0058,P1,登录后可下载,疾病/临床,Mental_and_Developmental_Disorders,MODMA,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,打开官方入口并按页面说明下载,http://modma.lzu.edu.cn/data/index/,https://modma.lzu.edu.cn/data/application/,02_Biometrics_and_Disease/Mental_and_Developmental_Disorders/MODMA,MODMA 下载权限已获批（ID 13/14/17）；入口在 2026-08-23 双端复测恢复，重新登录后下载 4.8 GB ERP、2.2 GB 128-ch resting 和 142 MB 3-ch resting。
EEG-0102,P1,登录后可下载,疾病/临床,Clinical_Abnormalities,BrainLat (Latin American EEG),FAILED_DISCOVERY,否,否,,,,需要申请,Synapse 登录后从数据目录同步 EEG 文件,https://doi.org/10.7303/syn51549340,https://www.synapse.org/Synapse:syn51549340/wiki/624187,02_Biometrics_and_Disease/Clinical_Abnormalities/BrainLat_Latin_American_EEG,注册/登录 Synapse；EEG 数据目录可直接取得，MRI 权限另算。
EEG-0519,P1,登录后可下载,健康/人群,Lifespan_and_Normative,Cuban Human Brain Mapping Project (CHBMP),MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,打开官方入口并按页面说明下载,https://chbmp-open.loris.ca/,https://chbmp-open.loris.ca/,02_Biometrics_and_Disease/Development_and_Lifespan/Cuban_Human_Brain_Mapping_Project_CHBMP,CHBMP LORIS 账号已开通；已核验 250 条 raw EEG session，首批 32 条已下载并在服务器解包，后续按登录态续传。
EEG-0599,P1,可直接下载,健康/人群,Developmental_Clinical_Cohort,HBN-EEG Release 7,NOT_IN_SERVER_AUDIT,否,否,,,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds005511,,08_Health_and_Population/Developmental_Clinical_Cohort/HBN_EEG_R7_ds005511,从官方入口下载；完成后写入服务器状态并运行 subjects/duration 审计。
EEG-0604,P1,可直接下载,疾病/临床,Sleep_and_Cognitive_Impairment,George B. Moody PhysioNet Challenge 2026 (PN2026),NOT_IN_SERVER_AUDIT,否,否,,,,公开/登录后下载,PhysioNet：wget -r -N -c -np https://moody-challenge.physionet.org/2026/,https://moody-challenge.physionet.org/2026/,,02_Healthcare_and_Disease/Sleep_and_Cognitive_Impairment/PN2026,从官方入口下载；完成后写入服务器状态并运行 subjects/duration 审计。
EEG-0150,P2,公开入口·需人工复核,疾病/临床,重症监护与昏迷,I-CARE,FAILED_DISCOVERY,否,否,,56676,,公开/登录后下载,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/bdsp-icare/2.0/,,02_Healthcare_and_Disease/Critical_Care_and_Coma/I-CARE,自动下载未完成；人工打开官方入口，确认真实文件链接后再下载。
EEG-0086,P2,已申请·等待访问,健康/人群,Sleep_and_Cardiometabolic,MESA Sleep,MANUAL_APPLICATION_OR_LOGIN,否,否,,21721.175,,公开/登录后下载,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/datasets/mesa,https://sleepdata.org/data/requests/mesa/start,02_Biometrics_and_Disease/Neurological_Disorders/MESA_Sleep,MESA Sleep 已提交 NSRR 申请；等待审批结果，若明确拒绝则转为舍弃。
EEG-0128,P2,公开入口·需人工复核,疾病/临床,Clinical_Sleep_Disorders,ISRUC-Sleep,FAILED_DISCOVERY,否,否,,777.75,,公开/登录后下载,打开官方入口并按页面说明下载,https://sleeptight.isr.uc.pt/,,03_Consciousness_and_State/Sleep_Staging/ISRUC-Sleep,自动下载未完成；人工打开官方入口，确认真实文件链接后再下载。
EEG-0012,P2,已申请·等待访问,疾病/临床,Epilepsy_and_Abnormalities,Harvard EEG Database,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/harvard-eeg-db/,https://bdsp.io/register/,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/Harvard_EEG_Database,已提交 BDSP credentialing/DUA；等待 Harvard EEG 权限。
EEG-0020,P2,已申请·等待访问,疾病/临床,Epilepsy_and_Abnormalities,MORGOTH HEP,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/MORGOTH_HEP,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0021,P2,已申请·等待访问,疾病/临床,Epilepsy_and_Abnormalities,MORGOTH IIIC-Test,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/MORGOTH_IIIC-Test,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0022,P2,已申请·等待访问,疾病/临床,Epilepsy_and_Abnormalities,MORGOTH IIIC-Train,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/MORGOTH_IIIC-Train,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0023,P2,已申请·等待访问,疾病/临床,Epilepsy_and_Abnormalities,MORGOTH MoE-External,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/MORGOTH_MoE-External,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0024,P2,已申请·等待访问,疾病/临床,Epilepsy_and_Abnormalities,MORGOTH MoE-Internal,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/MORGOTH_MoE-Internal,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0025,P2,已申请·等待访问,疾病/临床,Epilepsy_and_Abnormalities,MORGOTH ON,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/MORGOTH_ON,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0026,P2,已申请·等待访问,疾病/临床,Epilepsy_and_Abnormalities,MORGOTH SAI,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/MORGOTH_SAI,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0027,P2,已申请·等待访问,疾病/临床,Epilepsy_and_Abnormalities,MORGOTH SN2-Test,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/MORGOTH_SN2-Test,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0028,P2,已申请·等待访问,疾病/临床,Epilepsy_and_Abnormalities,MORGOTH SN2-Train,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/MORGOTH_SN2-Train,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0043,P2,已申请·等待访问,疾病/临床,Neurodegenerative_Disorders,CAUEEG,MANUAL_REVIEW_REQUIRED,否,否,,,,公开/登录后下载,GitHub release/仓库说明中的官方数据入口,https://github.com/ipis-mjkim/caueeg-dataset,https://github.com/ipis-mjkim/caueeg-dataset,02_Biometrics_and_Disease/Neurodegenerative_Disorders/CAUEEG,已提交 CAUEEG 申请；需本地伦理批准，等待邮件下载链接和密码。
EEG-0103,P2,已申请·等待访问,疾病/临床,Clinical_Abnormalities,MORGOTH HEEDB-Pretrain,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,02_Biometrics_and_Disease/Clinical_Abnormalities/MORGOTH_HEEDB-Pretrain,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0104,P2,已申请·等待访问,疾病/临床,Clinical_Abnormalities,MORGOTH HEEDB-Test,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,02_Biometrics_and_Disease/Clinical_Abnormalities/MORGOTH_HEEDB-Test,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0105,P2,已申请·等待访问,疾病/临床,Clinical_Abnormalities,MORGOTH HEEDB-Train,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,02_Biometrics_and_Disease/Clinical_Abnormalities/MORGOTH_HEEDB-Train,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0106,P2,公开入口·需人工复核,疾病/临床,Clinical_Abnormalities,NMT Scalp EEG Dataset,MANUAL_REVIEW_REQUIRED,否,否,,,,公开/登录后下载,GitHub release/仓库说明中的官方数据入口,https://github.com/dll-ncai/eeg_pre-diagnostic_screening,,02_Biometrics_and_Disease/Clinical_Abnormalities/NMT_Scalp_EEG_Dataset,自动下载未完成；人工打开官方入口，确认真实文件链接后再下载。
EEG-0110,P2,公开入口·需人工复核,健康/人群,Sleep_Health_and_PSG,ANPHY-Sleep,FAILED_DISCOVERY,否,否,,,,公开/登录后下载,OSF 官方项目文件下载,https://doi.org/10.17605/OSF.IO/R26FH,,03_Consciousness_and_State/Sleep_Staging/ANPHY-Sleep,自动下载未完成；人工打开官方入口，确认真实文件链接后再下载。
EEG-0131,P2,已申请·等待访问,疾病/临床,Clinical_Sleep_and_PSG,MORGOTH BCH-PSG,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,03_Consciousness_and_State/Sleep_Staging/MORGOTH_BCH-PSG,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0132,P2,已申请·等待访问,疾病/临床,Clinical_Sleep_and_PSG,MORGOTH MGH-PSG-Test,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,03_Consciousness_and_State/Sleep_Staging/MORGOTH_MGH-PSG-Test,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0133,P2,已申请·等待访问,疾病/临床,Clinical_Sleep_and_PSG,MORGOTH MGH-PSG-Train,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,03_Consciousness_and_State/Sleep_Staging/MORGOTH_MGH-PSG-Train,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0134,P2,已申请·等待访问,疾病/临床,Clinical_Sleep_and_PSG,MORGOTH UPenn PSG,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/morgoth1/1.0.0/,https://bdsp.io/register/,03_Consciousness_and_State/Sleep_Staging/MORGOTH_UPenn_PSG,已提交 BDSP credentialing/DUA；获批后用 credentialed S3 入口同步 MORGOTH。
EEG-0136,P2,公开入口·需人工复核,疾病/临床,Clinical_Sleep_and_PSG,NCHSDB,FAILED_DISCOVERY,否,否,,,,公开/登录后下载,PhysioNet：wget -r -N -c -np https://physionet.org/content/nch-sleep/,https://physionet.org/content/nch-sleep/,,03_Consciousness_and_State/Sleep_Staging/NCHSDB,自动下载未完成；人工打开官方入口，确认真实文件链接后再下载。
EEG-0142,P3,需要申请/登录,健康/人群,Population_Sleep_Health,SHHS,MANUAL_APPLICATION_OR_LOGIN,否,否,,75466.425,,公开/登录后下载,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/data/requests/shhs/start,https://sleepdata.org/data/requests/shhs/start,03_Consciousness_and_State/Sleep_Staging/SHHS,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0135,P3,需要申请/登录,健康/人群,Aging_and_Sleep,MrOS Sleep,MANUAL_APPLICATION_OR_LOGIN,否,否,,44987.816666666666,,公开/登录后下载,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/data/requests/mros/start,https://sleepdata.org/data/requests/mros/start,03_Consciousness_and_State/Sleep_Staging/MrOS_Sleep,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0117,P3,需要申请/登录,疾病/临床,Clinical_Sleep_and_PSG,CHAT,MANUAL_APPLICATION_OR_LOGIN,否,否,,16319.508333333333,,需要申请,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/datasets/chat,https://sleepdata.org/data/requests/chat/start,03_Consciousness_and_State/Sleep_Staging/CHAT,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0116,P3,需要申请/登录,健康/人群,Family_Sleep_and_SDB,CFS,MANUAL_APPLICATION_OR_LOGIN,否,否,,7218.516666666666,,公开/登录后下载,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/data/requests/cfs/start,https://sleepdata.org/data/requests/cfs/start,03_Consciousness_and_State/Sleep_Staging/CFS,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0115,P3,需要申请/登录,健康/人群,Sleep_Health_and_PSG,CCSHS,MANUAL_APPLICATION_OR_LOGIN,否,否,,5761.683333333333,,公开/登录后下载,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/datasets/ccshs,https://sleepdata.org/data/requests/ccshs/start,03_Consciousness_and_State/Sleep_Staging/CCSHS,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
