list_id,name,subcategory,catalog_targets,outputs,identity_namespace_entries,dataset_subject_entries_all_species,duration_hours,output_bytes,events,full_one_second_patches,channel_counts,source_sampling_rates,unit_status_output_counts,qc_flag_counts,array_label_record_counts,reference_type_output_counts,reference_status_output_counts,array_error_outputs,outside_event_rows
EEG-0042,APAVA,Neurodegenerative_Disorders,1,663,23,23,0.9208333333333333,41918134,663,3315,[16],[256.0],"{""inferred_from_numeric_range"": 663}","{""unit_not_verified"": 663}","{""alzheimer_disease"": 400, ""healthy_control"": 263}","{""average reference across 16 listed channels"": 663}","{""verified_from_mat_cfg"": 663}",0,0
EEG-0043,CAUEEG,Neurodegenerative_Disorders,1,1379,1379,1379,307.7705555555556,15655494856,61702,1107974,[19],[200.0],"{""verified_from_file"": 1379}",{},"{""abnormal"": 920, ""normal"": 459}","{""publisher_average_reference_encoded_by_all_EEG_channel_labels"": 1379}","{""documented_from_publisher_signal_header_and_EDF_labels"": 1379}",0,0
EEG-0044,Dementia Photo-stimulation Open-eyes EEG,Neurodegenerative_Disorders,1,88,88,88,7.716666666666665,389335346,51939,27739,[19],[500.0],"{""documented"": 88}","{""flatline_ge_5s"": 57, ""postprocess_sustained_high_amplitude"": 12}","{""alzheimer_disease"": 36, ""frontotemporal_dementia"": 23, ""healthy_control"": 29}","{""publisher conflict, eeg.json says A1 A2 while README says the shared referential montage used Cz"": 88}","{""conflicting_publisher_bids_sidecar_and_readme"": 88}",0,0
EEG-0045,"EEG p-adic quantum potential accurately identifies depression, schizophrenia and cognitive decline",Neurodegenerative_Disorders,1,249,236,236,84.29979444444464,4283377535,249,303446,[19],"[200.0, 500.0]","{""unknown"": 249}","{""channel_order_not_verified"": 249, ""unit_not_verified"": 249}","{""alzheimer_disease"": 49, ""control"": 96, ""major_depressive_disorder"": 28, ""mild_cognitive_impairment"": 34, ""schizophrenia"": 42}","{""unknown"": 249}","{""unknown"": 249}",0,0
EEG-0047,"Resting-state high-density EEG using EGI GES 300 for healthy elders, SCD, MCI and Alzheimer's disease",Neurodegenerative_Disorders,1,9,4,4,1.5,983122101,9,5400,[256],[250.0],"{""documented"": 9}","{""near_constant_channel"": 4, ""postprocess_extreme_peak"": 6, ""postprocess_sustained_high_amplitude"": 1}","{""alzheimer_disease"": 2, ""healthy_elder_control"": 2, ""mild_cognitive_impairment"": 2, ""subjective_cognitive_decline"": 3}","{""average_reference_after_Cz_vertex_acquisition_reference"": 9}","{""documented_from_zenodo_and_primary_paper"": 9}",0,0
EEG-0048,Adult ADHD EEG,Mental_and_Developmental_Disorders,1,880,80,80,7.111111111111111,41815562,880,25600,[2],[256.0],"{""inferred_from_numeric_range"": 880}","{""unit_not_verified"": 880}","{""adhd"": 418, ""healthy_control"": 462}","{""unknown"": 880}","{""unknown"": 880}",0,0
EEG-0052,Depression resting (BDI),Mental_and_Developmental_Disorders,1,243,122,122,23.3596611111111,4033053441,149094,83974,[64],[500.0],"{""unknown"": 243}","{""postprocess_extreme_peak"": 114, ""unit_not_verified"": 243, ""postprocess_sustained_high_amplitude"": 100, ""implausible_amplitude_or_unit"": 2}","{""high_bdi_13_to_30"": 92, ""low_bdi_0_to_7"": 149, ""publisher_invalid_unstable_bdi"": 2}","{""between_Cz_and_CPz"": 243}","{""documented_from_every_bids_eeg_json"": 243}",0,0
EEG-0053,EEG Data for ADHD,Mental_and_Developmental_Disorders,1,121,121,121,4.701359722222222,240053337,121,16870,[19],[128.0],"{""documented"": 121}",{},"{""adhd"": 61, ""healthy_control"": 60}","{""native_acquisition_reference_preserved"": 121}","{""earlobe_A1_A2_reported_in_literature_exact_combination_not_encoded"": 121}",0,0
EEG-0054,EEG in schizophrenia,Mental_and_Developmental_Disorders,1,28,28,28,8.0175,408214901,28,28863,[19],[250.0],"{""verified_from_file"": 28}","{""channel_order_not_verified"": 28}","{""healthy_control"": 14, ""paranoid_schizophrenia"": 14}","{""electrode_between_Fz_and_Cz"": 28}","{""documented_in_publisher_metadata"": 28}",0,0
EEG-0055,FEPCR,Mental_and_Developmental_Disorders,1,143,143,143,12.265277777777778,2003202988,143,44141,[61],"[1000.0, 3000.0003000000297]","{""documented"": 143}","{""channel_order_not_verified"": 143}","{""first_episode_psychosis"": 81, ""healthy_control"": 62}","{""TP9"": 143}","{""documented_from_bids_eeg_json"": 143}",0,0
EEG-0056,Fribourg Ultimatum Game in Schizophrenia Study,Mental_and_Developmental_Disorders,1,86,43,43,12.335,4235990103,65137,44406,[128],[2048.0],"{""verified_from_file"": 86}",{},"{""healthy_control"": 48, ""psychosis_episode_patient"": 38}","{""Mastoid"": 86}","{""verified_from_every_brainvision_channel_row"": 86}",0,0
EEG-0057,MDD (Mumtaz),Mental_and_Developmental_Disorders,1,181,64,64,20.555833333333332,1046091960,181,74001,[19],[256.0],"{""verified_from_file"": 181}",{},"{""healthy_control"": 86, ""major_depressive_disorder"": 95}","{""linked-ear reference encoded as LE in the 19 scalp-channel labels"": 181}","{""documented_in_primary_study_and_edf_channel_labels"": 181}",0,0
EEG-0058,MODMA,Mental_and_Developmental_Disorders,1,106,53,53,16.629376388888886,5707168542,127306,59814,[128],[250.0],"{""high_confidence_inferred_from_EEGLAB_export_convention_not_encoded_in_MAT"": 53, ""verified_from_file"": 53}","{""unit_not_verified"": 53, ""flatline_ge_5s"": 1, ""near_constant_channel"": 1, ""postprocess_extreme_peak"": 1}","{""healthy_control"": 58, ""major_depressive_disorder"": 48}","{""online_Cz_removed_zero_reference_row"": 53, ""online_Cz"": 53}","{""documented_in_publisher_dataset_description_and_verified_zero_129th_row"": 53, ""documented_in_publisher_dataset_description"": 53}",0,0
EEG-0059,Power Spectral Density-Based Resting-State EEG Classification of First-Episode Psychosis,Mental_and_Developmental_Disorders,1,726,72,72,6.05,977807773,726,21780,[60],[1000.0],"{""verified_from_file"": 726}","{""channel_order_not_verified"": 726, ""flatline_ge_5s"": 2}","{""first_episode_psychosis"": 443, ""healthy_control"": 283}","{""original BIDS says TP9 but derived FIF postprocessing reference is not recorded"": 726}","{""unknown_in_derived_fif"": 726}",0,0
EEG-0060,Schizophrenia-81,Mental_and_Developmental_Disorders,1,11527,40,40,9.605833333333333,1753531217,23054,34581,[64],[1024.0],"{""documented"": 11527}","{""postprocess_sustained_high_amplitude"": 57}","{""healthy_control"": 7219, ""schizophrenia"": 4308}","{""offline_average_earlobes"": 11527}","{""documented_in_publisher_dataset_description_and_primary_paper"": 11527}",0,0
EEG-0061,TDBRAIN,Mental_and_Developmental_Disorders,1,3268,1464,1464,120.51638888888888,8439617957,67747,433859,[26],[500.0],"{""verified_from_file"": 3268}","{""postprocess_sustained_high_amplitude"": 3053, ""postprocess_extreme_peak"": 17}","{""major_depressive_disorder_cohort"": 120, ""participant_level_diagnosis_or_response_not_deposited"": 3148}","{""linked_mastoids_A1_A2"": 3268}","{""documented_in_dataset_description_and_eeg_sidecars"": 3268}",0,0
EEG-0062,Acute Mild TBI DPX Cognitive-control EEG,Neurological_Disorders,1,223,90,90,125.70132361111109,21186981715,237693,452421,"[62, 63]",[500.0],"{""unknown"": 223}","{""unit_not_verified"": 223, ""postprocess_extreme_peak"": 56, ""postprocess_sustained_high_amplitude"": 13}","{""acute_mild_tbi"": 132, ""healthy_control"": 91}","{""CPz"": 223}","{""documented_from_every_bids_eeg_json_reference_not_materialized_in_standard_layout"": 223}",0,0
EEG-0063,Clinical BCI Challenge WCCI 2020 (Stroke Motor Attempt),Neurological_Disorders,1,1200,10,10,2.6666666666666665,90319565,1200,9600,[12],[512.0],"{""inferred_from_numeric_range"": 1200}","{""unit_not_verified"": 1200}","{""left_motor_attempt"": 600, ""right_motor_attempt"": 600}","{""unknown"": 1200}","{""unknown"": 1200}",0,0
EEG-0065,ALS-Spelling (EEG-ET),Neurological_Disorders,1,1989,176,176,66.32305555555556,5622315944,21067,238763,[32],[128.0],"{""corrected_from_mislabeled_edf_header"": 1989}","{""unit_not_verified"": 1989, ""source_exceeds_documented_device_range"": 61, ""source_near_edf_physical_limit"": 21, ""source_p99_near_documented_device_range"": 13}","{""als"": 459, ""healthy_control"": 1530}","{""EPOC Flex two reference electrodes behind the ears"": 1989}","{""documented_in_primary_data_descriptor"": 1989}",0,0
EEG-0070,BNCI 006-2014 (SCP training in stroke),Neurological_Disorders,1,16,2,2,21.875555555555554,47099670,8000,78752,[1],[256.0],"{""inferred_from_numeric_range_and_nexus_dc_amplifier_export_not_publisher_declared"": 16}","{""channel_order_not_verified"": 16, ""unit_not_verified"": 16}","{""chronic_stroke"": 16}","{""linked_mastoids_in_deposited_X"": 16}","{""documented_in_official_data_file_description"": 16}",0,0
EEG-0071,"BNCI 008-2014 (P300 speller, ALS)",Neurological_Disorders,1,8,8,8,3.018266666666667,74903782,33600,10864,[8],[256.0],"{""inferred_from_numeric_range"": 8}","{""unit_not_verified"": 8}","{""amyotrophic_lateral_sclerosis"": 8}","{""right earlobe; ground at left mastoid"": 8}","{""documented_in_official_bnci_description"": 8}",0,0
EEG-0074,CCEP ECoG Dataset across age 4-51,Neurological_Disorders,1,117,74,74,89.39100833333335,17914351161,53168,321763,"[40, 44, 45, 46, 47, 48, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 70, 71, 72, 74, 75, 77, 80, 81, 82, 84, 86, 88, 89, 90, 93, 94, 96, 101, 102, 103, 104, 105, 111, 112, 115]","[512.0, 2048.0002097152214]","{""verified_from_file"": 117}",{},"{""epilepsy_surgery_patient"": 117}","{""publisher BIDS iEEGReference is probably mastoid; deposited patient-specific contacts are retained without rereferencing"": 117}","{""documented_probabilistic_publisher_reference"": 117}",0,0
EEG-0075,"Dataset of electrophysiological signals (EEG, ECG, EMG) during Music therapy with adult burn patients in the Intensive Care Unit.",Neurological_Disorders,1,51,9,9,10.938316666666667,232775494,51,39369,[8],"[256.0, 512.0, 1024.0]","{""inferred_from_integer_range_and_publisher_export_code_not_formally_documented"": 51}","{""unit_not_verified"": 51, ""postprocess_sustained_high_amplitude"": 4}","{""adult_burn_icu_patient"": 51}","{""publisher conflict; README says Cz and derived eeg.json says FCz"": 51}","{""conflicting_publisher_readme_and_derived_sidecars"": 51}",0,0
EEG-0078,EEG: 3-Stim Auditory Oddball and Rest in Parkinson’s,Neurological_Disorders,1,75,50,50,12.759916666666669,2153441432,23768,45900,[63],[500.0],"{""unknown"": 75}","{""unit_not_verified"": 75, ""postprocess_extreme_peak"": 5, ""postprocess_sustained_high_amplitude"": 2}","{""healthy_control"": 25, ""parkinson_disease"": 50}","{""CPz"": 75}","{""documented_from_every_bids_eeg_json_reference_channel_not_materialized"": 75}",0,0
EEG-0079,EEG: Reinforcement Learning in Parkinson’s,Neurological_Disorders,1,84,56,56,35.38127777777777,5967762130,66284,127332,[63],[500.0],"{""unknown"": 84}","{""unit_not_verified"": 84, ""postprocess_extreme_peak"": 15, ""postprocess_sustained_high_amplitude"": 8, ""implausible_amplitude_or_unit"": 2}","{""healthy_control"": 28, ""parkinson_disease"": 56}","{""CPz"": 84}","{""documented_from_every_bids_eeg_json_reference_channel_not_materialized"": 84}",0,0
EEG-0080,EEG: Simon Conflict in Parkinson's,Neurological_Disorders,1,84,56,56,48.53486111111112,8194220867,121395,174687,[63],[500.0],"{""unknown"": 84}","{""unit_not_verified"": 84, ""postprocess_extreme_peak"": 7, ""postprocess_sustained_high_amplitude"": 2}","{""healthy_control"": 28, ""parkinson_disease"": 56}","{""CPz"": 84}","{""documented_from_every_bids_eeg_json_reference_channel_not_materialized"": 84}",0,0
EEG-0081,EEG: Three-Stim Auditory Oddball and Rest in Acute and Chronic TBI,Neurological_Disorders,1,421,115,115,141.66493333333332,23868637021,211616,509799,"[62, 63]",[500.0],"{""unknown"": 421}","{""unit_not_verified"": 421, ""postprocess_extreme_peak"": 74, ""postprocess_sustained_high_amplitude"": 28, ""implausible_amplitude_or_unit"": 1}","{""acute_mild_tbi"": 234, ""chronic_tbi"": 25, ""healthy_control"": 162}","{""CPz"": 421}","{""documented_from_every_bids_eeg_json_reference_not_materialized_in_standard_layout"": 421}",0,0
EEG-0083,Intraoperative Medianus-tibialis Stimulation EEG,Neurological_Disorders,1,437,18,18,11.763055555555555,157989988,0,42347,"[4, 5, 7, 8, 10]",[20000.0],"{""documented"": 437}","{""postprocess_sustained_high_amplitude"": 1}","{""diagnosis_not_provided"": 437}","{""publisher BIDS EEGReference AFz; deposited channel labels are bipolar derivations ending in Fz and are retained without rereferencing"": 437}","{""documented_bids_reference_with_unresolved_label_reference_discrepancy"": 437}",0,0
EEG-0084,Liu2024,Neurological_Disorders,1,50,50,50,4.444444444444445,347144330,6000,16000,[29],[500.0],"{""verified_from_file"": 50}",{},"{"""": 50}","{""CPz"": 50}","{""documented_in_bids_eeg_sidecar"": 50}",0,0
EEG-0085,Lower-Limb-MI (stroke),Neurological_Disorders,1,419,27,27,23.205116666666743,2505003250,58730,83500,[40],[250.0],"{""format_reader_inferred_microvolts"": 419}","{""unit_not_verified"": 419}","{""stroke"": 419}","{""average"": 419}","{""documented_in_set_and_publisher_code_no_rereference_applied"": 419}",0,420
EEG-0087,Ultra High-Density EEG of Interictal Migraine and Controls,Neurological_Disorders,1,117,39,39,21.232222222222223,7260861455,17063,76436,[128],[512.0],"{""verified_from_file"": 117}","{""postprocess_extreme_peak"": 16, ""postprocess_sustained_high_amplitude"": 4}","{""healthy_control"": 64, ""migraine"": 53}","{""software average of the M1 and M2 mastoids applied to the publisher BioSemi CMS/DRL-referenced signal"": 117}","{""documented_in_primary_peer_reviewed_paper"": 117}",0,0
EEG-0089,Mu and Beta Oscillatory Changes during a motor task following Rehabilitation in Chronic MCA Stroke: Insights from EEG,Neurological_Disorders,1,27,18,18,12.769161111111108,1983563756,7458,45955,[58],[1000.0],"{""verified_from_file"": 27}","{""channel_order_not_verified"": 27}","{""chronic_mca_stroke"": 19, ""healthy_control"": 8}","{""A1_online_acquisition_reference_present_as_recorded_channel"": 27}","{""documented_from_common_recorded_montage"": 27}",0,0
EEG-0092,PD-EEG Resting-State & Walking EEG,Neurological_Disorders,1,277,144,144,19.48869305555553,3127534229,11392,69950,[60],[250.0],"{""documented"": 277}","{""postprocess_extreme_peak"": 2, ""postprocess_sustained_high_amplitude"": 10, ""flatline_ge_5s"": 7, ""near_constant_channel"": 7}","{""healthy_control"": 51, ""parkinson_disease"": 226}","{""unknown"": 277}","{""bids_eeg_json_n_a"": 277}",0,0
EEG-0093,EEG Mortality Dataset in Parkinson's Disease,Neurological_Disorders,1,94,94,94,4.106461111111112,691839143,94,14742,[63],[500.0],"{""verified_from_file"": 94}","{""postprocess_sustained_high_amplitude"": 3, ""postprocess_extreme_peak"": 1}","{""deceased"": 22, ""living"": 72}","{""unknown"": 94}","{""not_documented_in_bids_or_brainvision_header"": 94}",0,0
EEG-0094,PD31 (Parkinson),Neurological_Disorders,1,46,31,31,2.517777777777778,269338218,90,9064,[40],[512.0],"{""verified_from_file"": 46}","{""postprocess_extreme_peak"": 1, ""postprocess_sustained_high_amplitude"": 1}","{""healthy_control"": 16, ""parkinson_disease"": 30}","{""publisher BIDS field is n/a; BioSemi acquisition reference is not asserted as a model-space reference"": 46}","{""unknown_in_retained_source_metadata"": 46}",0,0
EEG-0098,Tinnitus Acoustic Therapy EEG Database,Neurological_Disorders,1,877,103,103,100.31145833333333,4390656151,251186,360680,[16],"[256.0, 512.0]","{""verified_from_file"": 877}","{""postprocess_extreme_peak"": 11, ""postprocess_sustained_high_amplitude"": 31}","{""healthy_control"": 123, ""tinnitus"": 754}","{""common"": 877}","{""literal_set_header_common_no_rereference_applied"": 877}",0,0
EEG-0100,UNMDataset,Neurological_Disorders,1,28,28,28,1.4659999999999997,246941295,28,5263,[63],[500.0],"{""verified_from_file"": 28}",{},"{""control"": 14, ""parkinsons_disease"": 14}","{""Pz"": 28}","{""documented_in_all_28_BrainVision_headers_no_rereference_applied"": 28}",0,0
EEG-0106,NMT Scalp EEG Dataset,Clinical_Abnormalities,1,2417,2417,2417,488.96694444444444,27513335202,2,1760281,[21],[200.0],"{""verified_from_file"": 2417}",{},"{""normal_abnormal_mapping_not_present_in_bids_export"": 2417}","{""unknown"": 2417}","{""not_documented_in_bids_or_edf_header"": 2417}",0,0
EEG-0107,TUAB (TUH Abnormal),Clinical_Abnormalities,1,2993,2329,2329,1141.0022222222221,64105619491,2993,4107608,[21],"[250.0, 256.0, 512.0]","{""verified_from_file"": 2993}","{""postprocess_sustained_high_amplitude"": 32}","{""abnormal"": 1472, ""normal"": 1521}","{""average_reference"": 2993}","{""documented_from_tuh_montage_directory_and_edf_labels"": 2993}",0,0
EEG-0125,HMC clinical sleep EEG,Clinical_Sleep_Disorders,1,151,151,151,1144.2188888888888,12271390507,137545,4119188,[4],[256.0],"{""verified_from_file"": 151}",{},"{"""": 151}","{""native_mastoid_referential_pairs"": 151}","{""EDF named F4-M1 C4-M1 O2-M1 C3-M2"": 151}",0,0
